,id,label,tweet,degree of profanity
13,14,1, cnn calls michigan middle school build the wall chant  tcot  ,0.0
14,15,1,no comment  in australia   opkillingbay seashepherd helpcovedolphins thecove  helpcovedolphins,0.0
17,18,1,retweet if you agree ,0.0
23,24,1,  lumpy says i am a  prove it lumpy,0.0
34,35,1,its unbelievable that in the 21st century wed need something like this again neverump  xenophobia ,0.0
56,57,1, lets fight against  love peace ,0.12
68,69,1,the white establishment cant have blk folx running around loving themselves and promoting our greatness  ,0.0
77,78,1, hey white people you can call people white by   race  identity med,0.0
82,83,1,how the altright uses  amp insecurity to lure men into whitesupremacy    ,0.0
111,112,1, im not interested in a linguistics that doesnt address race amp  racism is about power raciolinguistics brings,0.0
114,115,1, why not  mocked obama for being black      brexit,0.07
131,132,1,people arent protesting trump because a republican wonthey do so because trump has fuhered  amp ,0.06
151,152,1,yes its  when you call michelleobama a gorilla because racists have long thought of black people as no bet ,0.05
156,157,1,as the smaller hands show barry probably lied about  being why his knicks game sucked more than his golf ,0.05
167,168,1,  you point one finger  millions are pointed right back at you  jewishsupremacist,0.06
192,193,1,you might be a libtard if libtard  sjw liberal politics ,0.08
210,211,1, take out the trash america   i voted against hate  i voted against   i voted against   i vot ,0.0
232,233,1,if you hold open a door for a woman because shes a woman and not because its a nice thing to do thats  dont even try to deny it,0.0
263,264,1, this man ran for governor of ny the state with the biggest africanamerican population    ,0.0
264,265,1,stereotyping prejudice  offer no hope or solutions but create the same old repetitive hate conflict ,0.0
269,270,1,how manypols passed by how many times and said nothing   bluelivesmatter draintheswamp  ferguson  ,0.0
313,314,1,7 horribly  ads from 2016 that made us cringe ,0.0
321,322,1, the dying of the light  village greentown  antisemitism hocoschools columbiamd hocomd,0.0
332,333,1, you never answered me about your statement on the nazis over hatred  amp bigotry being found w ,0.05
354,355,1,you might be a libtard if libtard  sjw liberal politics ,0.08
362,363,1,trump ny cochair makes racist remarks about michelle obama  p2 p21 fyi  tcot,0.07
374,375,1, the pic says otherwise for young girls confined in that kitchen you are void of meaning beyond cheap publicity topoli ,0.05
405,406,1, when youre blocked by a  troll because you promise to  blacklivesmatter amp let his nonsensical rants boos ,0.0
425,426,1,why the nazis studied american race laws for inspiration   ushistory  eugenics,0.14
432,433,1, biherism absolutely originated in hateful  bigotry altright hatred of our african american potus theresistance,0.12
443,444,1,fo woh officer in viral arrest video was rude not racist chief  crime officer ,0.12
486,487,1,discussing republicans is the same thing as critiquing  we cant ignore the consequences,0.0
498,499,1,are you black amp feel like the  are stomping on you   retweet tampa miami ,0.06
515,516,1, allahsoil the more familiar we become the more difficult it is to stereotype    ,0.0
526,527,1,anti racist is a codeword for antiwhite   asia for the asians  africa for the africans  white countries for everyon ,0.08
531,532,1, you praised cleveland police during rnc the police are under a consent decree 75 are white  tamirrice rip,0.0
544,545,1, that doesnt prevent you from being a  and a bigot,0.0
550,551,1, girls in the world sexy mature housewife ,0.22
558,559,1, i dont like the blacklivesmatter slogan  talk about being ,0.0
569,570,1, feminismiscancer feminismisterrorism feminismmuktbharat why  malevote is ignored  ,0.0
571,572,1,fox new just coming out and saying it bluntly one of the most  things ive read ,0.0
579,580,1, yes lets do thissuppoing a openly prowar anti islamichomophobicrapistwho advocates more of samehypocrite,0.0
609,610,1, porn vids wwwsmallgirlsexcom,0.25
617,618,1,the latest obsidian radio daily  thanks to     latesnews,0.0
621,622,1,you might be a libtard if libtard  sjw liberal politics ,0.08
622,623,1, just more overwhelming evidence that the company trump keeps echoes his sentiments amp ideals dumptrump ,0.0
649,650,1,nigger lifelessons of a white kid who grew up in the 60s blogpost  whitepeople respect ,0.12
692,693,1,carolyn cooper  ugly poor ignorant and black  ,0.2
733,734,1, no he was definitely a  mexican fakenewsale,0.11
735,736,1,standing up to racism and hate by americad not curse out congress and all haters  who are deplorable  hate ,0.0
746,747,1, trump used hate  and putin to win the white house trump presses attack on khan family and gop leaders ,0.05
749,750,1,everytime i wear soccer shis joie fries me and says i look mexican as fuck  ,0.12
763,764,1,the danger of white liberalism to oveurning  applies to liberal men and feminism too  ,0.06
771,772,1,great aicle right on the money starspangledbanner slavery apaheid  usa ,0.0
780,781,1, thank you the power of social media    aande ,0.0
790,791,1, and you keep telling that only aryans are allowed to rape women youre just a  troll eod  ,0.05
793,794,1, any minute trump will condemn the  vile bigoted comments of his surrogate carlpaladino endhate ,0.0
795,796,1, allahsoil vps got multimillion dollar bonuses while average americans lost their homes   ,0.0
802,803,1,25 jan interested in how discrimination and  has affected the criminal justice system ,0.07
804,805,1,keep up the opposition to   endthenation,0.0
811,812,1,i guess  is talking about progress in the advancement of  misogyny homophobia bigotry,0.0
815,816,1, jake is right 2 many ppl lack the will power to take a stand amp drown the small minded amp oft evil tendencies of past ,0.0
826,827,1,  is it possible for you to speak in any topic without bringing race into it you bigot   ,0.0
831,832,1,rushlimbaugh does his incredibly  obama impression  via ,0.0
860,861,1,black professor makes assumptions about an entire race whilst speaking for entire race next week the jews ,0.06
863,864,1,trumpusa when they call us   homophobic misogynist they are really saying they are jealous of us w ,0.0
879,880,1,i liked a  video from   sjw retard wants more ,0.08
889,890,1, msg of hope for newyear a business to end  endof2016 tedtalks tedatibm   ,0.0
912,913,1, non stop election  i blame cspan for hiding  for 8 years 2016 pittsburgh california ,0.0
916,917,1,people arent protesting trump because a republican wonthey do so because trump has fuhered  amp ,0.06
933,934,1, is not an opinion racism is degrading people based on race to justify discrimination or open violence against them stopracism,0.05
979,980,1, allahsoil the next best seller book isis islam 2016in4worlds 2016in4words terrorists gwot  ,0.0
984,985,1, dont forget   research shows that sexist men have psychological problems tuckercarlson ,0.0
987,988,1,no im not attracted to asian ppl bc im not asian  what if i tell you no im not attracted to u bc im not inse race here hoe   ,0.06
994,995,1,who defines  historically oppressed or historic oppressorsprivileged,0.0
1002,1003,1,the latest the volatile daily  thanks to     space,0.0
1006,1007,1, radicalism shouldnt be countered with  terrorists see us as inhumans but we the free cant judge by color,0.05
1039,1040,1,  but look how passionate they are about ivankatrump on the plane which was fake yet ignore adamsaleh ra,0.0
1047,1048,1,todays  donkey zionazi is proud of murdering real palestinian semitic children  thats what i call ,0.06
1079,1080,1, the fn is seeking to rid of its antisemitic xenophobic image but majority of its sympathisers still describe the ,0.0
1108,1109,1, all happy for  lbgt familybut what i dont get is the incessant but thin veiled  against other gay minorities,0.05
1116,1117,1,no racist intent is this guy joking  via   trump barackobama michelleobama,0.07
1136,1137,1,how quebecs humanrights amp justice system fail to protect victims of police     ,0.0
1155,1156,1, i would have never guessed i would be so disappointed in a city  berlin ,0.0
1170,1171,1,this how  works in uk if id been white amp those politician impoed thieves black theyd investigate amp prosecute returnmyvinyl ,0.09
1207,1208,1,the latest the maryland daily  thanks to   chrismukkah ,0.0
1214,1215,1,also keyboard is  when i type cause coopting terrorists reg syria it autocorrects to cause colored terrorists,0.06
1241,1242,1, although i am not a  a bigot or a misogynist so i hope that i still qualify keepyoureyesontheprizemlk,0.0
1244,1245,1, what america owes blacks    africanamerican reparations now,0.09
1247,1248,1,if potus were white hed still be the worst president ever and most likely the most  president ever trump israel happynewyear,0.05
1251,1252,1,decolonizing the curriculum the only way through the process is together   decolonization ,0.0
1274,1275,1, is a very profitable thing im america ,0.0
1317,1318,1,this treasonoustrump unsatisfied with his whiteisis  terrorism has moved into nuclear terror in a new ,0.06
1336,1337,1,yay except ellen made  comments so should we be suppoing her if you say kimburrell made homoresistant ,0.0
1346,1347,1, newyear new prez new destruction new commercials new new order new tweets new poopin new kids on t,0.0
1366,1367,1,   because we have been shuckinandjivin for the  democraticpay that only want our vote,0.0
1374,1375,1,if you didnt like  or hitler youre definitely not going to like traitor trump,0.07
1382,1383,1,just because you liberals are selfloathing doesnt mean the rest of us are the only weapon you have is to yell ,0.05
1392,1393,1, buffalo school districts boots trump ally over racist comments birdsofafeather  resist   ,0.06
1393,1394,1,  dear versace wont buy more if there s  in yur retail sign pissedoffitalian,0.0
1400,1401,1, pay of rich white  snobs  via  tcot tpc,0.0
1409,1410,1, ultimately a joke from early 2016 that i wish i didnt have to tell i also wish it didnt do as well as it did ,0.0
1411,1412,1,shot inside a pussy  office woman ,0.12
1446,1447,1, do we need a different word altogether that defines hatred against whites andor men just to satisfy hateful ppl like her,0.05
1456,1457,1, feminismiscancer feminismisterrorism feminismmuktbharat why  malevote is ignored  ,0.0
1463,1464,1,tyler perry claims reverse racism by critics of his tlc series tyler perry claims reverse  critics ,0.0
1479,1480,1,smh i cant take these one sided standards ,0.0
1485,1486,1,  1 get your own house in order 2 when you returning stolen land  hypocrite  liar inhumane ,0.0
1491,1492,1,psa in the age of information the true ethnicity of biblical people has caused an overlap of  and ,0.0
1504,1505,1, just coz their is a few of these vids dont mean they are not woh wotching they are there hilarious a must watc ,0.0
1525,1526,1,sikh temple vandalised in in calgary wso condemns  act  ,0.0
1541,1542,1, allahsoil not all muslims hate america    emiratis 2016in4words ,0.0
1542,1543,1, i felt that lawrence fishburn was added as the magical negro hollywood stereotypes are made of  ,0.05
1553,1554,1, feds provide inadequate mentalhealth care for firstnations internal memo  thirdworldcanada ,0.0
1564,1565,1,  amp the  democraticpay keeps telling me that blm but i see chicago detroit amp every other inn,0.0
1571,1572,1,get over it the world keeps spinning  ,0.0
1583,1584,1,    own team up with new mc  amp show what phillysuppophilly amp combat  ,0.0
1586,1587,1,if talking about  makes racism worst with that logic talking about how talking about racism makes it worst makes it worst,0.0
1596,1597,1, allahsoil the problem is that theres no space for alternative explanations   ,0.0
1602,1603,1,paul beloy  is still an issue at varying levels in belgian football   ,0.0
1633,1634,1, it isnt  to target illegals andor criminals its just plain commonsense    ,0.06
1669,1670,1,lying  and his disingenuous excuses for  deviant remarks about michelle amp barackobama ,0.0
1672,1673,1,bullshit he was thrown out for being a muslim   ,0.17
1709,1710,1,hope to see you at the show   feminist reproductiverights bihcontrol ,0.0
1717,1718,1, you might be a libtard if libtard  sjw liberal politics ,0.08
1741,1742,1,hillaryclinton calls me   homophobic misogynist she really means she is jealous   wh ,0.0
1742,1743,1,i wanna be fucked   my id  13479   meet me here    ,0.05
1751,1752,1, no liberal believes that we are the pay of inclusivity who believes in equality for all anywhere you are a tra ,0.04
1760,1761,1,this newyearsevemay our resolutions b 2 end problems like  amp domesticviolence by turning 2 god of love ,0.05
1768,1769,1,japan abe government is mere puppet of ultra rightist group japan conference fascism  guardian nytimes bbc afp rsf,0.0
1779,1780,1, i thought altright secretly meant white nationalist altright  maga ,0.0
1783,1784,1,  no hitler comparisons,0.2
